Filename,Angle (degrees),Displacement (pixels),Angle Cluster,Displacement Cluster
ffhq_2072.png,-1.22901260276788,7.825976925942052,2,1
ffhq_210.png,-3.2357142713228644,8.343825129883712,2,1
ffhq_2214.png,-1.3919385508661848,8.09132630004852,2,1
ffhq_2245.png,2.364824148124787,7.552691194074463,2,1
ffhq_2251.png,-1.22901260276788,7.522898542994131,2,1
ffhq_1961.png,-3.12066265986894,7.947934015706177,2,1
ffhq_1975.png,-3.629945064846465,7.947934015706177,2,1
ffhq_1988.png,0.4556717151284111,8.050047078487093,2,1
ffhq_1851.png,3.726159638311976,8.803266528825361,2,1
ffhq_1473.png,0.4556717151284111,8.260756153539162,2,1
ffhq_1554.png,2.2455823233744807,8.767538716453487,2,1
ffhq_1590.png,0.4556717151284111,8.343825129883712,2,1
ffhq_1620.png,0.4556717151284111,7.710759937489137,2,1
ffhq_1648.png,-3.629945064846465,8.728047706763078,2,1
ffhq_1240.png,0.4556717151284111,8.729874969710382,2,1
ffhq_1285.png,-6.669344633773387,7.969067846107031,1,1
ffhq_1385.png,0.4556717151284111,7.710759937489137,2,1
ffhq_227.png,0.4556717151284111,8.06145671302447,2,1
ffhq_2306.png,5.983211866784584,7.83763353475399,0,1
ffhq_2315.png,-3.4895145139091523,7.930608006759922,2,1
ffhq_2713.png,2.430605726010388,8.073056171288279,2,1
ffhq_278.png,7.298445127759352,8.409932856043422,0,1
ffhq_2809.png,2.1913763040568,9.046933755723597,2,1
ffhq_2829.png,2.1403560330247027,8.103437245172925,2,1
ffhq_2976.png,-1.334238893117658,7.576220969826648,2,1
ffhq_31.png,4.269746549418765,8.461631297222336,2,1
ffhq_326.png,2.5010802040156386,8.202749553100126,2,1
ffhq_3377.png,-1.2800328737999778,9.284725960415816,2,1
ffhq_3555.png,2.0922487567451293,9.206955659278218,2,1
ffhq_35.png,-5.659831851156996,7.576220969826648,1,1
ffhq_4201.png,-3.943033639867121,9.605255879415465,1,1
ffhq_4224.png,0.4556717151284111,8.634066492946038,2,1
ffhq_4282.png,2.576768111789865,9.026152988793536,2,1
ffhq_4392.png,0.4556717151284111,8.37494067955262,2,1
ffhq_4473.png,0.4556717151284111,8.06145671302447,2,1
ffhq_4514.png,-2.8148162080551544,7.949781780620056,2,1
ffhq_4561.png,2.2455823233744807,7.667307963490039,2,1
ffhq_4676.png,2.0922487567451293,8.526214858519733,2,1
ffhq_4754.png,-1.2800328737999778,8.919175131780403,2,1
ffhq_4879.png,-1.8349383275101188,8.449219729631453,2,1
ffhq_4886.png,4.032006090125762,9.28556703295703,2,1
ffhq_4917.png,-1.2800328737999778,7.927032782002238,2,1
ffhq_518.png,2.2455823233744807,8.522620744638338,2,1
ffhq_5655.png,4.032006090125762,7.562481358259496,2,1
ffhq_684.png,-4.738757192606395,8.073056171288279,1,1
ffhq_738.png,-5.071868436527762,10.08135947027399,1,1
ffhq_758.png,0.4556717151284111,9.311926362189114,2,1
ffhq_763.png,-3.012557543788737,8.442274127477665,2,1
ffhq_8.png,1.924472429514236,10.655203504595494,2,1
ffhq_904.png,-1.2800328737999778,7.552001524859506,2,1
image0000118.jpg,2.1403560330247027,8.913436357876265,2,1
image0000274.jpg,-0.9415093121679656,8.701943735406557,2,1
image0000815.jpg,-5.714503379901198,9.471089775500602,1,1
image0001225.jpg,1.852852742424788,9.325813802786472,2,1
image0002490.jpg,-16.74286950493746,11.237691370046,1,1
image0004385.jpg,6.464677672622936,7.811302438118478,0,1
image0004521.jpg,0.4556717151284111,11.563758616174612,2,1
image0004694.jpg,2.0922487567451293,7.70632451667744,2,1
image0005449.jpg,-4.211186656310584,10.126007341239598,1,1
image0005662.jpg,-10.083512013499815,7.910648262267916,1,1
image0006120.jpg,-6.254165092628522,9.668234027894409,1,1
image0006222.jpg,1.7576243877072864,7.793136251216414,2,1
